Block,Prompt style,Run,Kind,Attempt,HDL path,Compile,Passed,Total,Success,Model,Max output tokens,Prompt tokens,Completion tokens,Record prefix
alu,constraints,run-01,rtl,0,02_hdl/history/alu/constraints/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1379,629,03_records/experiment/alu/constraints/run-01/rtl_00
alu,constraints,run-01,tb,0,02_hdl/history/alu/constraints/run-01/tb_00.sv,True,1084,1084,True,gpt-5.4-2026-03-05,8192,1873,3443,03_records/experiment/alu/constraints/run-01/tb_00
alu,constraints,run-02,rtl,0,02_hdl/history/alu/constraints/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1379,589,03_records/experiment/alu/constraints/run-02/rtl_00
alu,constraints,run-02,tb,0,02_hdl/history/alu/constraints/run-02/tb_00.sv,True,4824,4824,True,gpt-5.4-2026-03-05,8192,1873,4756,03_records/experiment/alu/constraints/run-02/tb_00
alu,direct,run-01,rtl,0,02_hdl/history/alu/direct/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1299,458,03_records/experiment/alu/direct/run-01/rtl_00
alu,direct,run-01,tb,0,02_hdl/history/alu/direct/run-01/tb_00.sv,True,455,492,False,gpt-5.4-2026-03-05,8192,1873,3603,03_records/experiment/alu/direct/run-01/tb_00
alu,direct,run-01,tb,1,02_hdl/history/alu/direct/run-01/tb_01.sv,True,492,492,True,gpt-5.4-2026-03-05,8192,6148,3570,03_records/experiment/alu/direct/run-01/tb_01
alu,direct,run-02,rtl,0,02_hdl/history/alu/direct/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1299,446,03_records/experiment/alu/direct/run-02/rtl_00
alu,direct,run-02,tb,0,02_hdl/history/alu/direct/run-02/tb_00.sv,True,1294,1294,True,gpt-5.4-2026-03-05,8192,1873,4361,03_records/experiment/alu/direct/run-02/tb_00
alu,template,run-01,rtl,0,02_hdl/history/alu/template/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1346,836,03_records/experiment/alu/template/run-01/rtl_00
alu,template,run-01,tb,0,02_hdl/history/alu/template/run-01/tb_00.sv,True,4824,4824,True,gpt-5.4-2026-03-05,8192,1873,4756,03_records/experiment/alu/template/run-01/tb_00
alu,template,run-02,rtl,0,02_hdl/history/alu/template/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1346,693,03_records/experiment/alu/template/run-02/rtl_00
alu,template,run-02,tb,0,02_hdl/history/alu/template/run-02/tb_00.sv,True,4824,4824,True,gpt-5.4-2026-03-05,8192,1873,4756,03_records/experiment/alu/template/run-02/tb_00
controller,constraints,run-01,rtl,0,02_hdl/history/controller/constraints/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1962,3209,03_records/experiment/controller/constraints/run-01/rtl_00
controller,constraints,run-01,tb,0,02_hdl/history/controller/constraints/run-01/tb_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,2456,8082,03_records/experiment/controller/constraints/run-01/tb_00
controller,constraints,run-01,tb,1,02_hdl/history/controller/constraints/run-01/tb_01.sv,True,734,734,True,gpt-5.4-2026-03-05,8192,10889,8117,03_records/experiment/controller/constraints/run-01/tb_01
controller,constraints,run-02,rtl,0,02_hdl/history/controller/constraints/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1962,4607,03_records/experiment/controller/constraints/run-02/rtl_00
controller,constraints,run-02,tb,0,02_hdl/history/controller/constraints/run-02/tb_00.sv,True,653,653,True,gpt-5.4-2026-03-05,8192,2456,7571,03_records/experiment/controller/constraints/run-02/tb_00
controller,direct,run-01,rtl,0,02_hdl/history/controller/direct/run-01/rtl_00.sv,True,37,40,False,gpt-5.4-2026-03-05,8192,1882,2537,03_records/experiment/controller/direct/run-01/rtl_00
controller,direct,run-01,rtl,1,02_hdl/history/controller/direct/run-01/rtl_01.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,5332,2332,03_records/experiment/controller/direct/run-01/rtl_01
controller,direct,run-01,tb,0,02_hdl/history/controller/direct/run-01/tb_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,2456,7882,03_records/experiment/controller/direct/run-01/tb_00
controller,direct,run-01,tb,1,02_hdl/history/controller/direct/run-01/tb_01.sv,False,,,False,gpt-5.4-2026-03-05,8192,10464,8160,03_records/experiment/controller/direct/run-01/tb_01
controller,direct,run-01,tb,2,02_hdl/history/controller/direct/run-01/tb_02.sv,True,1825,1825,True,gpt-5.4-2026-03-05,8192,10741,8094,03_records/experiment/controller/direct/run-01/tb_02
controller,direct,run-02,rtl,0,02_hdl/history/controller/direct/run-02/rtl_00.sv,True,37,40,False,gpt-5.4-2026-03-05,8192,1882,2489,03_records/experiment/controller/direct/run-02/rtl_00
controller,direct,run-02,rtl,1,02_hdl/history/controller/direct/run-02/rtl_01.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,5284,2428,03_records/experiment/controller/direct/run-02/rtl_01
controller,direct,run-02,tb,0,02_hdl/history/controller/direct/run-02/tb_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,2456,8192,03_records/experiment/controller/direct/run-02/tb_00
controller,direct,run-02,tb,1,02_hdl/history/controller/direct/run-02/tb_01.sv,False,,,False,gpt-5.4-2026-03-05,8192,10745,8192,03_records/experiment/controller/direct/run-02/tb_01
controller,direct,run-02,tb,2,02_hdl/history/controller/direct/run-02/tb_02.sv,False,,,False,gpt-5.4-2026-03-05,8192,10740,8192,03_records/experiment/controller/direct/run-02/tb_02
controller,template,run-01,rtl,0,02_hdl/history/controller/template/run-01/rtl_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,1929,2795,03_records/experiment/controller/template/run-01/rtl_00
controller,template,run-01,rtl,1,02_hdl/history/controller/template/run-01/rtl_01.sv,True,37,40,False,gpt-5.4-2026-03-05,8192,4960,2882,03_records/experiment/controller/template/run-01/rtl_01
controller,template,run-01,rtl,2,02_hdl/history/controller/template/run-01/rtl_02.sv,False,,,False,gpt-5.4-2026-03-05,8192,5724,2910,03_records/experiment/controller/template/run-01/rtl_02
controller,template,run-01,rtl,3,02_hdl/history/controller/template/run-01/rtl_03.sv,False,,,False,gpt-5.4-2026-03-05,8192,5724,2910,03_records/experiment/controller/template/run-01/rtl_03
controller,template,run-01,tb,0,02_hdl/history/controller/template/run-01/tb_00.sv,not evaluated,,,False,gpt-5.4-2026-03-05,8192,2456,7571,03_records/experiment/controller/template/run-01/tb_00
controller,template,run-02,rtl,0,02_hdl/history/controller/template/run-02/rtl_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,1929,2795,03_records/experiment/controller/template/run-02/rtl_00
controller,template,run-02,rtl,1,02_hdl/history/controller/template/run-02/rtl_01.sv,True,37,40,False,gpt-5.4-2026-03-05,8192,4960,2806,03_records/experiment/controller/template/run-02/rtl_01
controller,template,run-02,rtl,2,02_hdl/history/controller/template/run-02/rtl_02.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,5648,2741,03_records/experiment/controller/template/run-02/rtl_02
controller,template,run-02,tb,0,02_hdl/history/controller/template/run-02/tb_00.sv,True,653,653,True,gpt-5.4-2026-03-05,8192,2456,7571,03_records/experiment/controller/template/run-02/tb_00
extend,constraints,run-01,rtl,0,02_hdl/history/extend/constraints/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1028,288,03_records/experiment/extend/constraints/run-01/rtl_00
extend,constraints,run-01,tb,0,02_hdl/history/extend/constraints/run-01/tb_00.sv,True,134,134,True,gpt-5.4-2026-03-05,8192,1522,2390,03_records/experiment/extend/constraints/run-01/tb_00
extend,constraints,run-02,rtl,0,02_hdl/history/extend/constraints/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,1028,288,03_records/experiment/extend/constraints/run-02/rtl_00
extend,constraints,run-02,tb,0,02_hdl/history/extend/constraints/run-02/tb_00.sv,True,134,134,True,gpt-5.4-2026-03-05,8192,1522,2390,03_records/experiment/extend/constraints/run-02/tb_00
extend,direct,run-01,rtl,0,02_hdl/history/extend/direct/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,948,278,03_records/experiment/extend/direct/run-01/rtl_00
extend,direct,run-01,tb,0,02_hdl/history/extend/direct/run-01/tb_00.sv,True,134,134,True,gpt-5.4-2026-03-05,8192,1522,2390,03_records/experiment/extend/direct/run-01/tb_00
extend,direct,run-02,rtl,0,02_hdl/history/extend/direct/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,948,278,03_records/experiment/extend/direct/run-02/rtl_00
extend,direct,run-02,tb,0,02_hdl/history/extend/direct/run-02/tb_00.sv,True,148,148,True,gpt-5.4-2026-03-05,8192,1522,2889,03_records/experiment/extend/direct/run-02/tb_00
extend,template,run-01,rtl,0,02_hdl/history/extend/template/run-01/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,995,393,03_records/experiment/extend/template/run-01/rtl_00
extend,template,run-01,tb,0,02_hdl/history/extend/template/run-01/tb_00.sv,True,134,134,True,gpt-5.4-2026-03-05,8192,1522,2390,03_records/experiment/extend/template/run-01/tb_00
extend,template,run-02,rtl,0,02_hdl/history/extend/template/run-02/rtl_00.sv,True,40,40,True,gpt-5.4-2026-03-05,8192,995,341,03_records/experiment/extend/template/run-02/rtl_00
extend,template,run-02,tb,0,02_hdl/history/extend/template/run-02/tb_00.sv,True,134,134,True,gpt-5.4-2026-03-05,8192,1522,2390,03_records/experiment/extend/template/run-02/tb_00
regfile,constraints,run-01,rtl,0,02_hdl/history/regfile/constraints/run-01/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1254,328,03_records/experiment/regfile/constraints/run-01/rtl_00
regfile,constraints,run-01,tb,0,02_hdl/history/regfile/constraints/run-01/tb_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,1750,3203,03_records/experiment/regfile/constraints/run-01/tb_00
regfile,constraints,run-01,tb,1,02_hdl/history/regfile/constraints/run-01/tb_01.sv,True,426,442,False,gpt-5.4-2026-03-05,8192,5121,2978,03_records/experiment/regfile/constraints/run-01/tb_01
regfile,constraints,run-01,tb,2,02_hdl/history/regfile/constraints/run-01/tb_02.sv,True,433,444,False,gpt-5.4-2026-03-05,8192,5348,3172,03_records/experiment/regfile/constraints/run-01/tb_02
